user_id,예금가입상품수,적금가입상품수,주거래은행,investment_style,annual_income,savings_goal,age,gender
1,2,4,0,0,2,1,42,0
2,2,2,1,1,0,0,25,0
3,5,6,1,0,5,2,49,1
4,5,3,1,1,4,2,23,1
5,5,4,2,2,4,3,20,0
6,2,1,3,1,2,5,28,0
7,5,1,4,2,3,4,38,0
8,1,3,2,0,0,0,52,0
9,5,3,2,0,2,1,44,0
10,5,4,5,2,3,3,29,0
11,4,1,6,0,1,3,21,0
12,1,4,2,1,0,2,32,1
13,6,4,1,2,3,1,38,0
14,2,1,3,2,3,2,52,0
15,6,3,7,2,0,4,53,0
16,6,1,4,1,5,1,33,1
17,3,1,8,2,1,4,21,1
18,1,6,9,1,2,3,26,0
19,3,4,4,1,1,3,21,1
20,2,6,4,0,4,3,43,0
21,1,5,10,2,2,0,29,1
22,3,3,4,1,1,5,20,1
23,1,4,9,1,3,0,23,1
24,2,2,8,1,1,5,33,1
25,5,2,9,1,5,5,27,1
26,6,5,0,0,2,5,25,0
27,1,6,5,1,4,3,53,0
28,3,5,8,0,3,1,45,0
29,4,3,3,1,5,0,24,0
30,5,4,3,0,1,4,31,0
31,1,1,2,2,3,1,41,1
32,4,5,3,1,4,5,21,0
33,2,2,2,2,2,3,26,1
34,1,1,11,1,0,4,22,0
35,3,2,3,0,5,5,49,1
36,4,6,8,2,1,2,50,0
37,1,2,9,2,4,5,40,1
38,2,5,1,1,0,2,30,1
39,4,5,4,0,0,0,28,1
40,6,5,6,2,1,2,37,1
41,5,3,4,1,3,2,53,1
42,6,5,2,2,5,0,23,1
43,5,2,1,1,3,0,54,0
44,2,4,3,0,2,3,27,1
45,5,3,10,0,4,4,31,1
46,2,6,12,2,2,0,48,1
47,5,1,9,1,5,2,39,1
48,5,6,1,0,2,5,28,1
49,5,4,2,2,5,5,29,0
50,6,1,1,2,3,0,27,1
51,4,4,13,0,1,3,29,1
52,3,1,11,2,4,5,50,0
53,2,2,10,1,0,4,49,1
54,3,6,1,1,4,4,24,1
55,4,5,7,2,0,2,23,1
56,3,4,8,2,4,4,48,0
57,5,3,1,2,1,5,24,0
58,6,5,4,1,2,1,43,1
59,3,5,2,2,3,5,46,0
60,6,2,5,1,5,3,49,0
61,2,6,0,0,0,2,27,0
62,1,5,10,2,3,5,45,1
63,2,6,2,2,2,2,28,0
64,4,3,6,2,5,3,49,0
65,3,1,11,1,2,5,51,0
66,5,6,2,2,0,4,24,0
67,2,4,6,0,2,3,42,0
68,1,3,14,2,4,2,22,1
69,5,2,1,2,0,2,21,0
70,2,5,8,2,3,2,38,1
71,5,3,4,0,3,0,20,1
72,4,5,8,0,4,5,19,1
73,4,1,15,0,1,5,30,0
74,4,1,11,1,5,0,53,0
75,4,5,6,1,5,0,21,1
76,4,5,12,0,1,3,50,0
77,5,4,16,2,4,0,34,0
78,2,3,8,0,5,5,40,0
79,6,1,3,0,4,1,43,0
80,6,4,9,1,5,4,28,1
81,6,3,1,0,4,5,23,0
82,5,3,9,1,2,3,45,0
83,5,1,9,1,2,1,42,1
84,4,1,2,1,5,3,33,0
85,6,5,6,0,2,5,29,0
86,2,5,14,0,3,5,54,1
87,4,3,6,0,5,5,35,1
